component,explained_energy,family,layer,model_id,rank,revision
ff,1.0,mapping:geography,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:geography,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,mapping:magnitude,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:magnitude,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.8246597051620483,alternation:temperature,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,alternation:temperature,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,arrow:geography,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,arrow:geography,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,arrow:color,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,arrow:color,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.894854724407196,mapping:tense,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:tense,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9720520377159119,alternation:direction,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:direction,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.7882400155067444,question:direction,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:direction,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9452562928199768,question:magnitude,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:magnitude,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.941148579120636,mapping:temperature,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:temperature,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.8709808588027954,question:tense,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:tense,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.8167298436164856,arrow:tense,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:tense,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9684521555900574,alternation:tense,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:tense,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9903244376182556,alternation:animal,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:animal,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9298729300498962,question:temperature,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:temperature,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.7836264371871948,mapping:direction,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:direction,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9110850691795349,question:geography,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:geography,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.8687073588371277,mapping:number,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:number,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.8396857380867004,arrow:number,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:number,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9099613428115845,question:number,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:number,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.8997125029563904,mapping:animal,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:animal,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9444458484649658,arrow:temperature,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:temperature,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9750075936317444,alternation:number,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:number,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9108714461326599,question:animal,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:animal,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9063283801078796,mapping:color,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:color,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.7505432963371277,arrow:direction,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:direction,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9814642071723938,alternation:color,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:color,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9379675984382629,question:color,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:color,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9982782602310181,alternation:magnitude,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:magnitude,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.8816261887550354,alternation:geography,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:geography,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.8724677562713623,arrow:animal,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:animal,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.956104576587677,arrow:magnitude,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:magnitude,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.8997349143028259,mapping:geography,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:geography,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9593365788459778,mapping:magnitude,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:magnitude,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9978401064872742,alternation:temperature,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:temperature,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.8662928342819214,arrow:geography,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:geography,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.8824373483657837,arrow:color,3,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:color,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.8962253928184509,mapping:tense,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:tense,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9974454641342163,alternation:direction,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,alternation:direction,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9690213203430176,question:direction,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:direction,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9960353970527649,question:magnitude,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:magnitude,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9821885228157043,mapping:temperature,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:temperature,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9397768378257751,question:tense,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:tense,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9031419157981873,arrow:tense,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,arrow:tense,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9986673593521118,alternation:tense,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,alternation:tense,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9993889331817627,alternation:animal,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,alternation:animal,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9942098259925842,question:temperature,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:temperature,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9249539971351624,mapping:direction,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:direction,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9657968282699585,question:geography,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:geography,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9604911804199219,mapping:number,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:number,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9081581830978394,arrow:number,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,arrow:number,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9718577265739441,question:number,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:number,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9344841241836548,mapping:animal,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:animal,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9654368162155151,arrow:temperature,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,arrow:temperature,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9975294470787048,alternation:number,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,alternation:number,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9851784706115723,question:animal,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:animal,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9604151248931885,mapping:color,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:color,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.8839299082756042,arrow:direction,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,arrow:direction,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9745593667030334,alternation:color,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,alternation:color,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9903262853622437,question:color,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:color,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.99971604347229,alternation:magnitude,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,alternation:magnitude,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9349568486213684,alternation:geography,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,alternation:geography,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9452585577964783,arrow:animal,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,arrow:animal,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9781510829925537,arrow:magnitude,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,arrow:magnitude,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9499159455299377,mapping:geography,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:geography,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9907332062721252,mapping:magnitude,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:magnitude,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9996139407157898,alternation:temperature,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,alternation:temperature,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9209619164466858,arrow:geography,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,arrow:geography,3,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9298383593559265,arrow:color,3,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,arrow:color,3,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9969300627708435,mapping:tense,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:tense,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9990370273590088,alternation:direction,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:direction,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.999151885509491,question:direction,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:direction,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9999400973320007,question:magnitude,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:magnitude,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9992508888244629,mapping:temperature,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:temperature,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9975168108940125,question:tense,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:tense,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9973961114883423,arrow:tense,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:tense,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9992227554321289,alternation:tense,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:tense,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9997789859771729,alternation:animal,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:animal,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9997788071632385,question:temperature,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:temperature,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9966976642608643,mapping:direction,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:direction,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9986671805381775,question:geography,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:geography,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9986376166343689,mapping:number,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:number,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9992032647132874,arrow:number,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:number,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9993082284927368,question:number,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:number,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9978289008140564,mapping:animal,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:animal,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9993323087692261,arrow:temperature,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:temperature,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9996323585510254,alternation:number,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:number,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9990867972373962,question:animal,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:animal,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9991366863250732,mapping:color,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:color,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9976235628128052,arrow:direction,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:direction,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9993460178375244,alternation:color,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:color,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9998444318771362,question:color,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:color,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9999119639396667,alternation:magnitude,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:magnitude,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9988511800765991,alternation:geography,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:geography,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.998624324798584,arrow:animal,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:animal,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9994759559631348,arrow:magnitude,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:magnitude,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9982231855392456,mapping:geography,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:geography,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9995195865631104,mapping:magnitude,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:magnitude,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9998837113380432,alternation:temperature,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:temperature,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9984371066093445,arrow:geography,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:geography,5,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9992438554763794,arrow:color,5,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:color,5,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.994528591632843,mapping:tense,5,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:tense,5,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9761161208152771,alternation:direction,5,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,alternation:direction,5,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9953996539115906,question:direction,5,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:direction,5,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.999535858631134,question:magnitude,5,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:magnitude,5,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9986962080001831,mapping:temperature,5,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:temperature,5,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9926414489746094,question:tense,5,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:tense,5,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9922057390213013,arrow:tense,5,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,arrow:tense,5,EleutherAI/pythia-70m-deduped,2,step143000
