accuracy_delta,example_id,head,js_damage,layer,margin_delta,mode,model_depth,model_seed,predicate,required_path,stage,status
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1,2.848359486051777e-07,5,0.28808021545410156,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,2,2.1310484044079203e-07,5,0.29959583282470703,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,3,4.2264218791387975e-08,5,0.15146160125732422,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0,0.024485256522893906,0,2.6748762130737305,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,1,0.02509714663028717,0,-1.2117319107055664,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,2,0.016220543533563614,0,1.9265832901000977,zero,6,11,isAncestor,6,s1,
-1,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,3,0.5594522953033447,0,-8.722891807556152,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0,0.00010095618199557066,1,-0.027608871459960938,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,1,0.00023206626065075397,1,0.1120595932006836,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,2,0.0011244399938732386,1,0.25725555419921875,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,3,0.0007430054247379303,1,0.21143627166748047,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0,0.00011008407454937696,2,0.0392608642578125,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,1,0.0005584508180618286,2,0.2068500518798828,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,2,0.00017259109881706536,2,-0.15220069885253906,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,3,9.396893437951803e-05,2,0.03291606903076172,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0,0.00010899250628426671,3,0.07822513580322266,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,1,0.0009760141838341951,3,0.2904176712036133,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,2,0.00022599846124649048,3,0.07787322998046875,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,3,0.0006331750191748142,3,0.17702388763427734,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0,0.0001755689736455679,4,0.041778564453125,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,1,0.0019284533336758614,4,0.46863555908203125,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,2,0.0007561456877738237,4,0.2165088653564453,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,3,5.469215102493763e-05,4,-0.009373664855957031,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0,0.00043876294512301683,5,0.11489486694335938,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,1,0.00027759192744269967,5,0.06441211700439453,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,2,0.0005147524643689394,5,0.12770843505859375,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,3,3.644725074991584e-05,5,0.06926631927490234,zero,6,11,isAncestor,6,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0,0.00011141833238070831,0,-0.09104156494140625,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,1,0.008550196886062622,0,-3.686330795288086,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,2,0.0002465874422341585,0,-0.48307037353515625,zero,6,11,isAncestor,4,s1,
-1,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,3,0.6637857556343079,0,-10.245872497558594,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0,6.261743692448363e-06,1,0.07504940032958984,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,1,1.3433365893433802e-05,1,-0.2121429443359375,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,2,1.0036688763648272e-05,1,0.07266998291015625,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,3,1.1196680134162307e-05,1,0.10340213775634766,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0,1.812207483453676e-05,2,0.15353679656982422,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,1,1.694680395303294e-05,2,0.25806713104248047,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,2,1.1638916475931183e-05,2,0.10349178314208984,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,3,1.024654193315655e-05,2,0.2590608596801758,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0,2.890341420425102e-06,3,0.07799243927001953,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,1,3.626411489676684e-05,3,0.29801177978515625,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,2,1.4438955986406654e-05,3,0.0982370376586914,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,3,2.7254318410996348e-05,3,0.26080322265625,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0,7.196951628429815e-06,4,0.07908916473388672,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,1,4.721177538158372e-05,4,0.3626871109008789,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,2,3.393565566511825e-05,4,0.2989940643310547,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,3,4.4301123125478625e-06,4,0.10171222686767578,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0,1.6510683053638786e-05,5,0.1501312255859375,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,1,1.3451874110614881e-05,5,0.2023143768310547,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,2,2.0135667000431567e-05,5,0.2420635223388672,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,3,1.1956908565480262e-06,5,0.044116973876953125,zero,6,11,isAncestor,4,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,0,1.384529355163977e-06,0,0.2324361801147461,zero,6,11,isAncestor,3,s1,
-1,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1,0.4680013060569763,0,-13.738767623901367,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,2,4.781169309353572e-07,0,0.6765995025634766,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,3,0.0009481320157647133,0,-5.2184343338012695,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,0,1.9696969388860452e-08,1,0.08911800384521484,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1,3.816501816800155e-07,1,0.14905548095703125,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,2,1.3509480822904152e-07,1,0.1076202392578125,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,3,3.6832648220297415e-07,1,0.3957328796386719,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,0,1.4189282637744327e-07,2,0.09695625305175781,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1,4.942106102134858e-07,2,0.24318981170654297,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,2,3.6398256497705006e-07,2,0.3453941345214844,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,3,2.9220586839073803e-07,2,0.2400045394897461,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,0,3.1550626999887754e-08,3,0.1160593032836914,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1,7.813658839950222e-07,3,0.5486745834350586,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,2,3.499397394080006e-07,3,0.34137535095214844,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,3,3.851121164188953e-07,3,0.28140830993652344,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,0,1.7744224578564172e-07,4,0.13838577270507812,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1,9.368847031510086e-07,4,0.6699619293212891,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,2,4.850712116422073e-07,4,0.3370647430419922,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,3,7.440883109666174e-08,4,0.10772037506103516,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,0,4.379107281238248e-07,5,0.33379459381103516,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1,4.912250233246596e-07,5,0.2883882522583008,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,2,4.2766657770698657e-07,5,0.34494876861572266,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,3,3.374402979261504e-08,5,0.10895919799804688,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,0,1.736087870085612e-05,0,1.6593894958496094,zero,6,11,isAncestor,3,s1,
-1,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1,0.4963940978050232,0,-11.721725463867188,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,2,8.76409831107594e-06,0,0.7165098190307617,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,3,0.002919886028394103,0,-3.3490753173828125,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,0,4.033831828564871e-07,1,0.13912487030029297,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1,2.3014908947516233e-06,1,0.2562837600708008,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,2,1.0520625437493436e-06,1,0.13773250579833984,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,3,2.007989678531885e-06,1,0.30248165130615234,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,0,8.524591521563707e-07,2,0.10465431213378906,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1,1.5826101389393443e-06,2,0.14486122131347656,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,2,1.4103404737397796e-06,2,0.2521219253540039,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,3,2.0294201021897607e-06,2,0.29731178283691406,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,0,3.808236215263605e-07,3,0.1627187728881836,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1,3.135605993520585e-06,3,0.4641532897949219,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,2,2.1193723114265595e-06,3,0.35595130920410156,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,3,1.3292130915942835e-06,3,0.2264089584350586,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,0,5.680783488060115e-07,4,0.09057331085205078,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1,4.1591565604903735e-06,4,0.5968551635742188,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,2,1.9478434296615887e-06,4,0.2648935317993164,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,3,2.6205964331893483e-07,4,0.0848388671875,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,0,1.7731570096657379e-06,5,0.287628173828125,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1,1.916625024023233e-06,5,0.23859882354736328,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,2,1.44745808938751e-06,5,0.24712467193603516,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,3,1.037391257341369e-07,5,0.0788278579711914,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0,0.0021319473162293434,0,-0.655055046081543,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,1,0.0030708443373441696,0,-2.3447952270507812,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,2,0.0002512185019440949,0,0.18045997619628906,zero,6,11,isAncestor,3,s1,
-1,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,3,0.5037135481834412,0,-6.91050386428833,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0,9.613326255930588e-06,1,0.003814697265625,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,1,3.210859722457826e-05,1,-0.1335134506225586,zero,6,11,isAncestor,3,s1,
0,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,2,1.9790160877164453e-05,1,-0.13689899444580078,zero,6,11,isAncestor,3,s1,
