condition,correct,example_id,margin,prediction,rank,seed,target
fact_mismatch,1,41,28.298484802246094,6,1,11,6
rule_lhs_mismatch,1,42,14.485410690307617,6,1,11,6
consequent_swap,1,43,11.680630683898926,61,1,11,61
entailed,1,44,13.07393741607666,36,1,11,36
fact_mismatch,1,45,23.450571060180664,6,1,11,6
rule_lhs_mismatch,1,46,24.643400192260742,6,1,11,6
consequent_swap,1,47,11.744953155517578,53,1,11,53
entailed,1,48,12.418828964233398,65,1,11,65
fact_mismatch,1,49,28.46128273010254,6,1,11,6
rule_lhs_mismatch,1,50,24.644367218017578,6,1,11,6
consequent_swap,1,51,11.911982536315918,29,1,11,29
entailed,1,52,12.340953826904297,27,1,11,27
fact_mismatch,1,53,20.69949722290039,6,1,11,6
rule_lhs_mismatch,1,54,22.84139633178711,6,1,11,6
consequent_swap,1,55,11.556503295898438,10,1,11,10
entailed,1,56,9.442997932434082,39,1,11,39
fact_mismatch,1,57,14.04861068725586,6,1,11,6
rule_lhs_mismatch,1,58,23.430660247802734,6,1,11,6
consequent_swap,1,59,12.369891166687012,54,1,11,54
entailed,1,60,12.548090934753418,40,1,11,40
fact_mismatch,1,61,31.800209045410156,6,1,11,6
rule_lhs_mismatch,1,62,25.523710250854492,6,1,11,6
consequent_swap,1,63,11.253843307495117,21,1,11,21
entailed,1,64,12.702781677246094,61,1,11,61
fact_mismatch,1,65,24.006486892700195,6,1,11,6
rule_lhs_mismatch,1,66,23.62350082397461,6,1,11,6
consequent_swap,1,67,12.502856254577637,44,1,11,44
entailed,1,68,10.180508613586426,26,1,11,26
fact_mismatch,1,69,16.242233276367188,6,1,11,6
rule_lhs_mismatch,1,70,28.01653289794922,6,1,11,6
consequent_swap,1,71,11.047082901000977,49,1,11,49
entailed,1,72,11.684030532836914,31,1,11,31
fact_mismatch,1,73,20.183589935302734,6,1,11,6
rule_lhs_mismatch,1,74,26.05266761779785,6,1,11,6
consequent_swap,1,75,11.836641311645508,11,1,11,11
entailed,1,76,11.064311027526855,54,1,11,54
fact_mismatch,1,77,21.9451904296875,6,1,11,6
rule_lhs_mismatch,1,78,18.200416564941406,6,1,11,6
consequent_swap,1,79,12.183218955993652,23,1,11,23
entailed,1,80,12.360931396484375,19,1,11,19
fact_mismatch,1,81,28.500507354736328,6,1,11,6
rule_lhs_mismatch,1,82,25.592039108276367,6,1,11,6
consequent_swap,1,83,12.200715065002441,65,1,11,65
entailed,1,84,11.83664321899414,67,1,11,67
fact_mismatch,1,85,28.759355545043945,6,1,11,6
rule_lhs_mismatch,1,86,28.75615692138672,6,1,11,6
consequent_swap,1,87,10.658647537231445,56,1,11,56
entailed,1,88,12.58847427368164,19,1,11,19
fact_mismatch,1,89,22.518779754638672,6,1,11,6
rule_lhs_mismatch,1,90,26.279783248901367,6,1,11,6
consequent_swap,1,91,12.435098648071289,19,1,11,19
entailed,1,92,11.742326736450195,39,1,11,39
fact_mismatch,1,93,23.707550048828125,6,1,11,6
rule_lhs_mismatch,1,94,23.920249938964844,6,1,11,6
consequent_swap,1,95,13.32612419128418,38,1,11,38
entailed,1,96,11.270925521850586,37,1,11,37
fact_mismatch,1,97,22.84139633178711,6,1,11,6
rule_lhs_mismatch,1,98,23.279052734375,6,1,11,6
consequent_swap,1,99,11.432126998901367,49,1,11,49
entailed,1,100,12.248552322387695,34,1,11,34
fact_mismatch,1,101,17.090667724609375,6,1,11,6
rule_lhs_mismatch,1,102,23.439956665039062,6,1,11,6
consequent_swap,1,103,11.06411361694336,39,1,11,39
entailed,1,104,11.878263473510742,48,1,11,48
fact_mismatch,1,105,23.72947120666504,6,1,11,6
rule_lhs_mismatch,1,106,21.723112106323242,6,1,11,6
consequent_swap,1,107,13.120343208312988,64,1,11,64
entailed,1,108,12.550429344177246,46,1,11,46
fact_mismatch,1,109,18.991329193115234,6,1,11,6
rule_lhs_mismatch,1,110,20.411800384521484,6,1,11,6
consequent_swap,1,111,12.06209659576416,51,1,11,51
entailed,1,112,12.33779525756836,70,1,11,70
fact_mismatch,1,113,24.475751876831055,6,1,11,6
rule_lhs_mismatch,1,114,27.567100524902344,6,1,11,6
consequent_swap,1,115,10.690022468566895,20,1,11,20
entailed,1,116,11.583706855773926,54,1,11,54
fact_mismatch,1,117,27.015670776367188,6,1,11,6
rule_lhs_mismatch,1,118,25.48096466064453,6,1,11,6
consequent_swap,1,119,12.993730545043945,28,1,11,28
entailed,1,120,11.21072769165039,36,1,11,36
fact_mismatch,1,121,16.36151885986328,6,1,11,6
rule_lhs_mismatch,1,122,22.68331527709961,6,1,11,6
consequent_swap,1,123,9.364994049072266,20,1,11,20
entailed,1,124,13.443644523620605,59,1,11,59
fact_mismatch,1,125,23.70264434814453,6,1,11,6
rule_lhs_mismatch,1,126,9.547256469726562,6,1,11,6
consequent_swap,1,127,10.577987670898438,45,1,11,45
entailed,1,128,13.048606872558594,61,1,11,61
fact_mismatch,1,129,25.977092742919922,6,1,11,6
rule_lhs_mismatch,1,130,25.838594436645508,6,1,11,6
consequent_swap,1,131,12.765623092651367,70,1,11,70
entailed,1,132,11.556879043579102,41,1,11,41
fact_mismatch,1,133,12.00335693359375,6,1,11,6
rule_lhs_mismatch,1,134,24.428482055664062,6,1,11,6
consequent_swap,1,135,11.434179306030273,30,1,11,30
entailed,1,136,11.381155967712402,52,1,11,52
fact_mismatch,1,137,28.435535430908203,6,1,11,6
rule_lhs_mismatch,1,138,21.807327270507812,6,1,11,6
consequent_swap,1,139,13.638678550720215,13,1,11,13
entailed,1,140,11.588903427124023,26,1,11,26
fact_mismatch,1,141,28.051607131958008,6,1,11,6
rule_lhs_mismatch,1,142,25.073366165161133,6,1,11,6
consequent_swap,1,143,10.851734161376953,14,1,11,14
entailed,1,144,11.867536544799805,51,1,11,51
fact_mismatch,1,145,26.761018753051758,6,1,11,6
rule_lhs_mismatch,1,146,27.55368995666504,6,1,11,6
consequent_swap,1,147,10.88250732421875,14,1,11,14
entailed,1,148,9.799605369567871,45,1,11,45
fact_mismatch,1,149,19.273996353149414,6,1,11,6
rule_lhs_mismatch,1,150,29.376110076904297,6,1,11,6
consequent_swap,1,151,12.417004585266113,25,1,11,25
entailed,1,152,11.875039100646973,11,1,11,11
fact_mismatch,1,153,16.52733039855957,6,1,11,6
rule_lhs_mismatch,1,154,17.32500648498535,6,1,11,6
consequent_swap,1,155,11.583706855773926,54,1,11,54
entailed,1,156,11.308308601379395,63,1,11,63
fact_mismatch,1,157,18.96609878540039,6,1,11,6
rule_lhs_mismatch,1,158,27.976486206054688,6,1,11,6
consequent_swap,1,159,12.644914627075195,18,1,11,18
entailed,1,160,11.781692504882812,17,1,11,17
fact_mismatch,1,161,22.524433135986328,6,1,11,6
rule_lhs_mismatch,1,162,21.236713409423828,6,1,11,6
consequent_swap,1,163,12.086484909057617,62,1,11,62
entailed,1,164,10.777692794799805,14,1,11,14
fact_mismatch,1,165,25.321855545043945,6,1,11,6
rule_lhs_mismatch,1,166,27.582923889160156,6,1,11,6
consequent_swap,1,167,13.120343208312988,64,1,11,64
entailed,1,168,11.167917251586914,49,1,11,49
fact_mismatch,1,169,14.450177192687988,6,1,11,6
rule_lhs_mismatch,1,170,20.508140563964844,6,1,11,6
consequent_swap,1,171,11.944095611572266,40,1,11,40
entailed,1,172,10.985699653625488,12,1,11,12
fact_mismatch,1,173,23.042179107666016,6,1,11,6
rule_lhs_mismatch,1,174,14.748661041259766,6,1,11,6
consequent_swap,1,175,11.838640213012695,42,1,11,42
entailed,1,176,10.549718856811523,29,1,11,29
fact_mismatch,1,177,26.744813919067383,6,1,11,6
rule_lhs_mismatch,1,178,17.9334716796875,6,1,11,6
consequent_swap,1,179,12.583988189697266,38,1,11,38
entailed,1,180,11.588903427124023,26,1,11,26
fact_mismatch,1,181,20.006004333496094,6,1,11,6
rule_lhs_mismatch,1,182,27.791393280029297,6,1,11,6
consequent_swap,1,183,14.660449028015137,59,1,11,59
entailed,1,184,12.826799392700195,46,1,11,46
fact_mismatch,1,185,11.424579620361328,6,1,11,6
rule_lhs_mismatch,1,186,27.74245262145996,6,1,11,6
consequent_swap,1,187,11.373255729675293,35,1,11,35
entailed,1,188,11.227033615112305,28,1,11,28
fact_mismatch,1,189,23.749486923217773,6,1,11,6
rule_lhs_mismatch,1,190,26.055526733398438,6,1,11,6
consequent_swap,1,191,11.744953155517578,53,1,11,53
entailed,1,192,12.345839500427246,28,1,11,28
fact_mismatch,1,193,23.04271697998047,6,1,11,6
rule_lhs_mismatch,1,194,21.59624481201172,6,1,11,6
consequent_swap,1,195,12.442404747009277,27,1,11,27
entailed,1,196,11.222318649291992,39,1,11,39
fact_mismatch,1,197,21.066789627075195,6,1,11,6
rule_lhs_mismatch,1,198,29.228126525878906,6,1,11,6
consequent_swap,1,199,10.667118072509766,68,1,11,68
entailed,1,200,12.59842300415039,24,1,11,24
fact_mismatch,1,201,29.42802619934082,6,1,11,6
rule_lhs_mismatch,1,202,25.979402542114258,6,1,11,6
consequent_swap,1,203,11.259607315063477,50,1,11,50
entailed,1,204,11.770883560180664,63,1,11,63
fact_mismatch,1,205,23.229995727539062,6,1,11,6
rule_lhs_mismatch,1,206,14.575094223022461,6,1,11,6
consequent_swap,1,207,12.146485328674316,10,1,11,10
entailed,1,208,11.96830940246582,60,1,11,60
fact_mismatch,1,209,27.37779998779297,6,1,11,6
rule_lhs_mismatch,1,210,25.38561248779297,6,1,11,6
consequent_swap,1,211,11.69228744506836,40,1,11,40
entailed,1,212,11.770883560180664,63,1,11,63
fact_mismatch,1,213,26.67156982421875,6,1,11,6
rule_lhs_mismatch,1,214,14.449527740478516,6,1,11,6
consequent_swap,1,215,12.053709030151367,44,1,11,44
entailed,1,216,11.185012817382812,56,1,11,56
fact_mismatch,1,217,20.115863800048828,6,1,11,6
rule_lhs_mismatch,1,218,16.588764190673828,6,1,11,6
consequent_swap,1,219,13.688505172729492,52,1,11,52
entailed,1,220,15.410921096801758,9,1,11,9
fact_mismatch,1,221,18.57260513305664,6,1,11,6
rule_lhs_mismatch,1,222,21.08605194091797,6,1,11,6
consequent_swap,1,223,11.96830940246582,60,1,11,60
entailed,1,224,12.032427787780762,10,1,11,10
fact_mismatch,1,225,26.15658950805664,6,1,11,6
rule_lhs_mismatch,1,226,22.24213218688965,6,1,11,6
consequent_swap,1,227,12.802034378051758,60,1,11,60
entailed,1,228,13.443644523620605,59,1,11,59
fact_mismatch,1,229,14.548803329467773,6,1,11,6
rule_lhs_mismatch,1,230,18.804729461669922,6,1,11,6
consequent_swap,1,231,12.070682525634766,47,1,11,47
entailed,1,232,11.491884231567383,34,1,11,34
fact_mismatch,1,233,28.655927658081055,6,1,11,6
rule_lhs_mismatch,1,234,23.374465942382812,6,1,11,6
consequent_swap,1,235,10.441726684570312,43,1,11,43
entailed,1,236,10.19449234008789,22,1,11,22
fact_mismatch,1,237,22.009279251098633,6,1,11,6
rule_lhs_mismatch,1,238,24.00126838684082,6,1,11,6
consequent_swap,1,239,10.221694946289062,37,1,11,37
entailed,1,240,10.54869556427002,7,1,11,7
fact_mismatch,1,241,17.249252319335938,6,1,11,6
rule_lhs_mismatch,1,242,25.284278869628906,6,1,11,6
consequent_swap,1,243,12.731830596923828,28,1,11,28
entailed,1,244,11.101810455322266,58,1,11,58
fact_mismatch,1,245,20.739938735961914,6,1,11,6
rule_lhs_mismatch,1,246,19.965545654296875,6,1,11,6
consequent_swap,1,247,11.266263961791992,48,1,11,48
entailed,1,248,13.315635681152344,62,1,11,62
fact_mismatch,1,249,23.77256965637207,6,1,11,6
rule_lhs_mismatch,1,250,21.82303237915039,6,1,11,6
consequent_swap,1,251,10.790609359741211,12,1,11,12
entailed,1,252,9.991683959960938,22,1,11,22
fact_mismatch,1,253,20.88339614868164,6,1,11,6
rule_lhs_mismatch,1,254,23.709381103515625,6,1,11,6
consequent_swap,1,255,11.710237503051758,30,1,11,30
entailed,1,256,11.047082901000977,49,1,11,49
fact_mismatch,1,257,14.484569549560547,6,1,11,6
rule_lhs_mismatch,1,258,24.664209365844727,6,1,11,6
consequent_swap,1,259,12.313338279724121,69,1,11,69
entailed,1,260,11.182966232299805,37,1,11,37
fact_mismatch,1,261,19.082275390625,6,1,11,6
rule_lhs_mismatch,1,262,24.36269760131836,6,1,11,6
consequent_swap,1,263,12.063121795654297,61,1,11,61
entailed,1,264,13.252321243286133,38,1,11,38
fact_mismatch,1,265,25.504837036132812,6,1,11,6
rule_lhs_mismatch,1,266,20.367069244384766,6,1,11,6
consequent_swap,1,267,12.317941665649414,51,1,11,51
entailed,1,268,12.13676643371582,10,1,11,10
fact_mismatch,1,269,24.3035945892334,6,1,11,6
rule_lhs_mismatch,1,270,24.139087677001953,6,1,11,6
consequent_swap,1,271,12.230198860168457,17,1,11,17
entailed,1,272,11.744671821594238,48,1,11,48
fact_mismatch,1,273,17.154117584228516,6,1,11,6
rule_lhs_mismatch,1,274,11.232189178466797,6,1,11,6
consequent_swap,1,275,9.689459800720215,30,1,11,30
entailed,1,276,9.23495864868164,39,1,11,39
fact_mismatch,1,277,22.087970733642578,6,1,11,6
rule_lhs_mismatch,1,278,25.02556037902832,6,1,11,6
consequent_swap,1,279,10.957213401794434,34,1,11,34
entailed,1,280,11.373255729675293,35,1,11,35
fact_mismatch,1,281,20.097545623779297,6,1,11,6
rule_lhs_mismatch,1,282,27.165983200073242,6,1,11,6
consequent_swap,1,283,12.567647933959961,36,1,11,36
entailed,1,284,9.799605369567871,45,1,11,45
fact_mismatch,1,285,29.55644989013672,6,1,11,6
rule_lhs_mismatch,1,286,21.032299041748047,6,1,11,6
consequent_swap,1,287,12.21313762664795,42,1,11,42
entailed,1,288,11.159794807434082,58,1,11,58
fact_mismatch,1,289,25.250329971313477,6,1,11,6
rule_lhs_mismatch,1,290,19.694772720336914,6,1,11,6
consequent_swap,1,291,12.481191635131836,47,1,11,47
entailed,1,292,12.501646041870117,65,1,11,65
fact_mismatch,1,293,26.075477600097656,6,1,11,6
rule_lhs_mismatch,1,294,22.609216690063477,6,1,11,6
consequent_swap,1,295,12.005708694458008,57,1,11,57
entailed,1,296,11.800559043884277,30,1,11,30
fact_mismatch,1,297,22.40455436706543,6,1,11,6
rule_lhs_mismatch,1,298,28.453231811523438,6,1,11,6
consequent_swap,1,299,12.048230171203613,34,1,11,34
entailed,1,300,11.989808082580566,11,1,11,11
fact_mismatch,1,301,29.392309188842773,6,1,11,6
rule_lhs_mismatch,1,302,22.633739471435547,6,1,11,6
consequent_swap,1,303,13.23427963256836,68,1,11,68
entailed,1,304,10.864736557006836,29,1,11,29
fact_mismatch,1,305,18.041954040527344,6,1,11,6
rule_lhs_mismatch,1,306,26.925048828125,6,1,11,6
consequent_swap,1,307,13.495055198669434,46,1,11,46
entailed,1,308,11.433563232421875,56,1,11,56
fact_mismatch,1,309,28.55788803100586,6,1,11,6
rule_lhs_mismatch,1,310,30.28179931640625,6,1,11,6
consequent_swap,1,311,12.360931396484375,19,1,11,19
entailed,1,312,11.847471237182617,65,1,11,65
fact_mismatch,1,313,24.584186553955078,6,1,11,6
rule_lhs_mismatch,1,314,11.799514770507812,6,1,11,6
consequent_swap,1,315,11.982051849365234,42,1,11,42
entailed,1,316,11.458822250366211,30,1,11,30
fact_mismatch,1,317,22.782390594482422,6,1,11,6
rule_lhs_mismatch,1,318,25.58778953552246,6,1,11,6
consequent_swap,1,319,10.552881240844727,44,1,11,44
entailed,1,320,11.197626113891602,20,1,11,20
fact_mismatch,1,321,29.359344482421875,6,1,11,6
rule_lhs_mismatch,1,322,22.9002628326416,6,1,11,6
consequent_swap,1,323,12.353081703186035,32,1,11,32
entailed,1,324,12.41535758972168,19,1,11,19
fact_mismatch,1,325,22.573257446289062,6,1,11,6
rule_lhs_mismatch,1,326,24.760934829711914,6,1,11,6
consequent_swap,1,327,11.588903427124023,26,1,11,26
entailed,1,328,11.361993789672852,29,1,11,29
fact_mismatch,1,329,22.13873291015625,6,1,11,6
rule_lhs_mismatch,1,330,29.041152954101562,6,1,11,6
consequent_swap,1,331,12.155332565307617,19,1,11,19
entailed,1,332,12.399563789367676,47,1,11,47
fact_mismatch,1,333,25.649532318115234,6,1,11,6
rule_lhs_mismatch,1,334,29.12600326538086,6,1,11,6
consequent_swap,1,335,12.52750015258789,35,1,11,35
entailed,1,336,12.41535758972168,19,1,11,19
fact_mismatch,1,337,21.889137268066406,6,1,11,6
rule_lhs_mismatch,1,338,25.828174591064453,6,1,11,6
consequent_swap,1,339,11.89544677734375,34,1,11,34
entailed,1,340,12.345047950744629,11,1,11,11
fact_mismatch,1,341,26.971071243286133,6,1,11,6
rule_lhs_mismatch,1,342,24.10479164123535,6,1,11,6
consequent_swap,1,343,10.411231994628906,38,1,11,38
entailed,1,344,12.534756660461426,62,1,11,62
fact_mismatch,1,345,20.066856384277344,6,1,11,6
rule_lhs_mismatch,1,346,27.73229217529297,6,1,11,6
consequent_swap,1,347,7.537602424621582,61,1,11,61
entailed,1,348,11.783832550048828,39,1,11,39
fact_mismatch,1,349,14.871646881103516,6,1,11,6
rule_lhs_mismatch,1,350,22.798837661743164,6,1,11,6
consequent_swap,1,351,12.362106323242188,70,1,11,70
entailed,1,352,8.822172164916992,67,1,11,67
fact_mismatch,1,353,20.19088363647461,6,1,11,6
rule_lhs_mismatch,1,354,26.486526489257812,6,1,11,6
consequent_swap,1,355,10.081225395202637,7,1,11,7
entailed,1,356,11.878263473510742,48,1,11,48
fact_mismatch,1,357,21.884204864501953,6,1,11,6
rule_lhs_mismatch,1,358,25.230127334594727,6,1,11,6
consequent_swap,1,359,11.076908111572266,22,1,11,22
entailed,1,360,11.951148986816406,11,1,11,11
fact_mismatch,1,361,26.77149772644043,6,1,11,6
rule_lhs_mismatch,1,362,14.120628356933594,6,1,11,6
consequent_swap,1,363,10.72832202911377,45,1,11,45
entailed,1,364,11.757622718811035,47,1,11,47
fact_mismatch,1,365,16.26030921936035,6,1,11,6
rule_lhs_mismatch,1,366,25.852235794067383,6,1,11,6
consequent_swap,1,367,10.614363670349121,29,1,11,29
entailed,1,368,8.765828132629395,14,1,11,14
fact_mismatch,1,369,28.423965454101562,6,1,11,6
rule_lhs_mismatch,1,370,19.617900848388672,6,1,11,6
consequent_swap,1,371,12.309063911437988,47,1,11,47
entailed,1,372,10.72832202911377,45,1,11,45
fact_mismatch,1,373,22.283050537109375,6,1,11,6
rule_lhs_mismatch,1,374,18.910497665405273,6,1,11,6
consequent_swap,1,375,11.365910530090332,70,1,11,70
entailed,1,376,13.058119773864746,40,1,11,40
fact_mismatch,1,377,29.758180618286133,6,1,11,6
rule_lhs_mismatch,1,378,25.744991302490234,6,1,11,6
consequent_swap,1,379,11.897754669189453,21,1,11,21
entailed,1,380,9.636211395263672,22,1,11,22
fact_mismatch,1,381,22.393783569335938,6,1,11,6
rule_lhs_mismatch,1,382,21.252452850341797,6,1,11,6
consequent_swap,1,383,11.05550479888916,50,1,11,50
entailed,1,384,12.586603164672852,46,1,11,46
fact_mismatch,1,385,23.92069435119629,6,1,11,6
rule_lhs_mismatch,1,386,30.315574645996094,6,1,11,6
consequent_swap,1,387,11.167017936706543,65,1,11,65
entailed,1,388,11.545146942138672,68,1,11,68
fact_mismatch,1,389,26.54813575744629,6,1,11,6
rule_lhs_mismatch,1,390,25.187707901000977,6,1,11,6
consequent_swap,1,391,11.145672798156738,63,1,11,63
entailed,1,392,9.799605369567871,45,1,11,45
fact_mismatch,1,393,26.947498321533203,6,1,11,6
rule_lhs_mismatch,1,394,24.066036224365234,6,1,11,6
consequent_swap,1,395,12.655180931091309,61,1,11,61
entailed,1,396,11.594057083129883,27,1,11,27
fact_mismatch,1,397,24.034690856933594,6,1,11,6
rule_lhs_mismatch,1,398,13.744661331176758,6,1,11,6
consequent_swap,1,399,11.380537033081055,33,1,11,33
entailed,1,400,13.07393741607666,36,1,11,36
fact_mismatch,1,401,20.583663940429688,6,1,11,6
rule_lhs_mismatch,1,402,27.62458610534668,6,1,11,6
consequent_swap,1,403,11.266263961791992,48,1,11,48
entailed,1,404,11.242636680603027,11,1,11,11
fact_mismatch,1,405,24.995159149169922,6,1,11,6
rule_lhs_mismatch,1,406,26.455720901489258,6,1,11,6
consequent_swap,1,407,11.757622718811035,47,1,11,47
entailed,1,408,11.052907943725586,26,1,11,26
fact_mismatch,1,409,16.377708435058594,6,1,11,6
rule_lhs_mismatch,1,410,26.256946563720703,6,1,11,6
consequent_swap,1,411,12.482358932495117,17,1,11,17
entailed,1,412,14.118511199951172,28,1,11,28
fact_mismatch,1,413,17.469547271728516,6,1,11,6
rule_lhs_mismatch,1,414,26.715124130249023,6,1,11,6
consequent_swap,1,415,11.911982536315918,29,1,11,29
entailed,1,416,10.457319259643555,64,1,11,64
fact_mismatch,1,417,22.634695053100586,6,1,11,6
rule_lhs_mismatch,1,418,22.618019104003906,6,1,11,6
consequent_swap,1,419,12.083075523376465,70,1,11,70
entailed,1,420,11.951148986816406,11,1,11,11
fact_mismatch,1,421,23.408544540405273,6,1,11,6
rule_lhs_mismatch,1,422,19.047271728515625,6,1,11,6
consequent_swap,1,423,13.048606872558594,61,1,11,61
entailed,1,424,13.439181327819824,28,1,11,28
fact_mismatch,1,425,23.91019058227539,6,1,11,6
rule_lhs_mismatch,1,426,20.36379051208496,6,1,11,6
consequent_swap,1,427,12.309063911437988,47,1,11,47
entailed,1,428,12.091835021972656,51,1,11,51
fact_mismatch,1,429,24.93899154663086,6,1,11,6
rule_lhs_mismatch,1,430,24.46140480041504,6,1,11,6
consequent_swap,1,431,12.039255142211914,43,1,11,43
entailed,1,432,12.192580223083496,32,1,11,32
fact_mismatch,1,433,26.806804656982422,6,1,11,6
rule_lhs_mismatch,1,434,28.558128356933594,6,1,11,6
consequent_swap,1,435,13.13790512084961,19,1,11,19
entailed,1,436,11.888191223144531,26,1,11,26
fact_mismatch,1,437,26.514156341552734,6,1,11,6
rule_lhs_mismatch,1,438,26.001567840576172,6,1,11,6
consequent_swap,1,439,10.690022468566895,20,1,11,20
entailed,1,440,12.052811622619629,40,1,11,40
fact_mismatch,1,441,13.903251647949219,6,1,11,6
rule_lhs_mismatch,1,442,26.2470703125,6,1,11,6
consequent_swap,1,443,10.993158340454102,51,1,11,51
entailed,1,444,13.120343208312988,64,1,11,64
fact_mismatch,1,445,22.38994598388672,6,1,11,6
rule_lhs_mismatch,1,446,20.937288284301758,6,1,11,6
consequent_swap,1,447,12.42292308807373,27,1,11,27
entailed,1,448,11.438631057739258,64,1,11,64
fact_mismatch,1,449,25.065410614013672,6,1,11,6
rule_lhs_mismatch,1,450,25.762310028076172,6,1,11,6
consequent_swap,1,451,12.900086402893066,37,1,11,37
entailed,1,452,12.005708694458008,57,1,11,57
fact_mismatch,1,453,17.967153549194336,6,1,11,6
rule_lhs_mismatch,1,454,27.686809539794922,6,1,11,6
consequent_swap,1,455,11.642390251159668,31,1,11,31
entailed,1,456,12.053709030151367,44,1,11,44
fact_mismatch,1,457,24.37828254699707,6,1,11,6
rule_lhs_mismatch,1,458,22.920642852783203,6,1,11,6
consequent_swap,1,459,10.67177677154541,26,1,11,26
entailed,1,460,10.530685424804688,40,1,11,40
fact_mismatch,1,461,16.693578720092773,6,1,11,6
rule_lhs_mismatch,1,462,26.23520278930664,6,1,11,6
consequent_swap,1,463,9.769807815551758,37,1,11,37
entailed,1,464,12.418828964233398,65,1,11,65
fact_mismatch,1,465,25.169309616088867,6,1,11,6
rule_lhs_mismatch,1,466,25.381988525390625,6,1,11,6
consequent_swap,1,467,10.667118072509766,68,1,11,68
entailed,1,468,12.310113906860352,47,1,11,47
fact_mismatch,1,469,24.188919067382812,6,1,11,6
rule_lhs_mismatch,1,470,23.04633331298828,6,1,11,6
consequent_swap,1,471,13.89870548248291,28,1,11,28
entailed,1,472,11.443828582763672,27,1,11,27
fact_mismatch,1,473,28.11652374267578,6,1,11,6
rule_lhs_mismatch,1,474,17.16504669189453,6,1,11,6
consequent_swap,1,475,11.121782302856445,54,1,11,54
entailed,1,476,9.24531364440918,55,1,11,55
fact_mismatch,1,477,16.08349609375,6,1,11,6
rule_lhs_mismatch,1,478,13.871814727783203,6,1,11,6
consequent_swap,1,479,14.563802719116211,25,1,11,25
entailed,1,480,12.586603164672852,46,1,11,46
fact_mismatch,1,481,24.60729217529297,6,1,11,6
rule_lhs_mismatch,1,482,28.969120025634766,6,1,11,6
consequent_swap,1,483,9.06864070892334,14,1,11,14
entailed,1,484,12.462449073791504,11,1,11,11
fact_mismatch,1,485,21.167816162109375,6,1,11,6
rule_lhs_mismatch,1,486,20.05306625366211,6,1,11,6
consequent_swap,1,487,10.659004211425781,31,1,11,31
entailed,1,488,12.550429344177246,46,1,11,46
fact_mismatch,1,489,9.74081039428711,6,1,11,6
rule_lhs_mismatch,1,490,15.264802932739258,6,1,11,6
consequent_swap,1,491,11.982051849365234,42,1,11,42
entailed,1,492,11.108558654785156,21,1,11,21
fact_mismatch,1,493,23.21706771850586,6,1,11,6
rule_lhs_mismatch,1,494,28.150550842285156,6,1,11,6
consequent_swap,1,495,11.968437194824219,19,1,11,19
entailed,1,496,9.410715103149414,53,1,11,53
fact_mismatch,1,497,27.092679977416992,6,1,11,6
rule_lhs_mismatch,1,498,22.344161987304688,6,1,11,6
consequent_swap,1,499,11.884279251098633,48,1,11,48
entailed,1,500,12.901198387145996,8,1,11,8
fact_mismatch,1,501,18.346878051757812,6,1,11,6
